condition,outcome,median_hierarchy_ate,mean_hierarchy_ate,difference,absolute_difference,scale_width,normalized_difference,normalized_absolute_difference
Consensus,behavior_mean,1.15,1.05,-0.09999999999999987,0.09999999999999987,100,-9.999999999999987e-4,9.999999999999987e-4
Consensus,belief_post,3,3.3666666666666667,0.3666666666666667,0.3666666666666667,100,0.003666666666666667,0.003666666666666667
Consensus,concern_mean,1.5,1.6833333333333333,0.18333333333333335,0.18333333333333335,100,0.0018333333333333335,0.0018333333333333335
Consensus,distrust_post,-1.9,-2.013333333333333,-0.11333333333333329,0.11333333333333329,100,-0.0011333333333333328,0.0011333333333333328
Consensus,donation_ams,0.15,0.15833333333333333,0.008333333333333331,0.008333333333333331,10,8.333333333333332e-4,8.333333333333332e-4
Consensus,funding_perceptions,1.35,1.4433333333333334,0.09333333333333327,0.09333333333333327,100,9.333333333333327e-4,9.333333333333327e-4
Consensus,inst_trust_mean,1,1.1566666666666667,0.15666666666666673,0.15666666666666673,100,0.0015666666666666674,0.0015666666666666674
Consensus,newsletter_signup,0.01,0.0097,-2.999999999999999e-4,2.999999999999999e-4,1,-2.999999999999999e-4,2.999999999999999e-4
Consensus,policy_general,1.5,1.5733333333333333,0.07333333333333325,0.07333333333333325,100,7.333333333333325e-4,7.333333333333325e-4
Consensus,policy_role_mean,1.65,1.71,0.06000000000000005,0.06000000000000005,100,6.000000000000005e-4,6.000000000000005e-4
Consensus,policy_specific_mean,1,1.1433333333333333,0.1433333333333333,0.1433333333333333,100,0.0014333333333333331,0.0014333333333333331
Consensus,trust_multidimensional,2.25,2.3266666666666667,0.07666666666666666,0.07666666666666666,100,7.666666666666666e-4,7.666666666666666e-4
Consensus,trust_post,2.35,2.5,0.1499999999999999,0.1499999999999999,100,0.0014999999999999992,0.0014999999999999992
Corporate reliance,behavior_mean,0.75,0.8,0.050000000000000044,0.050000000000000044,100,5.000000000000004e-4,5.000000000000004e-4
Corporate reliance,belief_post,1.5,1.5,0,0,100,0,0
Corporate reliance,concern_mean,1.1,1.1400000000000001,0.040000000000000036,0.040000000000000036,100,4.0000000000000034e-4,4.0000000000000034e-4
Corporate reliance,distrust_post,-1.9,-2.0266666666666664,-0.12666666666666648,0.12666666666666648,100,-0.0012666666666666649,0.0012666666666666649
Corporate reliance,donation_ams,0.135,0.12633333333333333,-0.008666666666666684,0.008666666666666684,10,-8.666666666666684e-4,8.666666666666684e-4
Corporate reliance,funding_perceptions,1.2,1.08,-0.11999999999999988,0.11999999999999988,100,-0.0011999999999999988,0.0011999999999999988
Corporate reliance,inst_trust_mean,1.2,1.1300000000000001,-0.06999999999999984,0.06999999999999984,100,-6.999999999999984e-4,6.999999999999984e-4
Corporate reliance,newsletter_signup,0.009000000000000001,0.008933333333333333,-6.6666666666668e-5,6.6666666666668e-5,1,-6.6666666666668e-5,6.6666666666668e-5
Corporate reliance,policy_general,1.05,1.14,0.08999999999999986,0.08999999999999986,100,8.999999999999986e-4,8.999999999999986e-4
Corporate reliance,policy_role_mean,1.25,1.51,0.26,0.26,100,0.0026,0.0026
Corporate reliance,policy_specific_mean,0.9,0.8733333333333333,-0.026666666666666727,0.026666666666666727,100,-2.666666666666673e-4,2.666666666666673e-4
Corporate reliance,trust_multidimensional,2.15,2.3,0.1499999999999999,0.1499999999999999,100,0.0014999999999999992,0.0014999999999999992
Corporate reliance,trust_post,2.3,2.2733333333333334,-0.026666666666666394,0.026666666666666394,100,-2.6666666666666397e-4,2.6666666666666397e-4
Extreme weather predictions,behavior_mean,0.8,1.0033333333333334,0.20333333333333337,0.20333333333333337,100,0.0020333333333333336,0.0020333333333333336
Extreme weather predictions,belief_post,0.95,1.0866666666666667,0.13666666666666671,0.13666666666666671,100,0.001366666666666667,0.001366666666666667
Extreme weather predictions,concern_mean,1.55,1.49,-0.06000000000000005,0.06000000000000005,100,-6.000000000000005e-4,6.000000000000005e-4
Extreme weather predictions,distrust_post,-1.7,-2.01,-0.30999999999999983,0.30999999999999983,100,-0.003099999999999998,0.003099999999999998
Extreme weather predictions,donation_ams,0.25,0.22733333333333333,-0.02266666666666667,0.02266666666666667,10,-0.002266666666666667,0.002266666666666667
Extreme weather predictions,funding_perceptions,1.75,1.8099999999999998,0.05999999999999983,0.05999999999999983,100,5.999999999999983e-4,5.999999999999983e-4
Extreme weather predictions,inst_trust_mean,1.75,1.72,-0.030000000000000027,0.030000000000000027,100,-3.0000000000000024e-4,3.0000000000000024e-4
Extreme weather predictions,newsletter_signup,0.0125,0.011966666666666667,-5.333333333333336e-4,5.333333333333336e-4,1,-5.333333333333336e-4,5.333333333333336e-4
Extreme weather predictions,policy_general,1.25,1.2433333333333334,-0.006666666666666599,0.006666666666666599,100,-6.666666666666599e-5,6.666666666666599e-5
Extreme weather predictions,policy_role_mean,2,2.0533333333333332,0.05333333333333323,0.05333333333333323,100,5.333333333333323e-4,5.333333333333323e-4
Extreme weather predictions,policy_specific_mean,0.95,0.9933333333333334,0.043333333333333446,0.043333333333333446,100,4.3333333333333445e-4,4.3333333333333445e-4
Extreme weather predictions,trust_multidimensional,2.25,2.473333333333333,0.22333333333333316,0.22333333333333316,100,0.0022333333333333315,0.0022333333333333315
Extreme weather predictions,trust_post,2.5,2.493333333333333,-0.006666666666666821,0.006666666666666821,100,-6.66666666666682e-5,6.66666666666682e-5
Former skeptics,behavior_mean,0.9,0.9866666666666667,0.08666666666666667,0.08666666666666667,100,8.666666666666667e-4,8.666666666666667e-4
Former skeptics,belief_post,1.9,2.006666666666667,0.10666666666666691,0.10666666666666691,100,0.001066666666666669,0.001066666666666669
Former skeptics,concern_mean,1.5,1.6,0.10000000000000009,0.10000000000000009,100,0.0010000000000000009,0.0010000000000000009
Former skeptics,distrust_post,-1.75,-1.75,0,0,100,0,0
Former skeptics,donation_ams,0.15,0.145,-0.0050000000000000044,0.0050000000000000044,10,-5.000000000000004e-4,5.000000000000004e-4
Former skeptics,funding_perceptions,1.3,1.24,-0.06000000000000005,0.06000000000000005,100,-6.000000000000005e-4,6.000000000000005e-4
Former skeptics,inst_trust_mean,1.0499999999999998,1.0433333333333332,-0.006666666666666599,0.006666666666666599,100,-6.666666666666599e-5,6.666666666666599e-5
Former skeptics,newsletter_signup,0.01,0.010133333333333333,1.3333333333333253e-4,1.3333333333333253e-4,1,1.3333333333333253e-4,1.3333333333333253e-4
Former skeptics,policy_general,1.45,1.53,0.08000000000000007,0.08000000000000007,100,8.000000000000007e-4,8.000000000000007e-4
Former skeptics,policy_role_mean,1.25,1.3066666666666666,0.05666666666666664,0.05666666666666664,100,5.666666666666664e-4,5.666666666666664e-4
Former skeptics,policy_specific_mean,1.05,1.1400000000000001,0.09000000000000008,0.09000000000000008,100,9.000000000000008e-4,9.000000000000008e-4
Former skeptics,trust_multidimensional,1.9000000000000001,1.9833333333333334,0.08333333333333326,0.08333333333333326,100,8.333333333333326e-4,8.333333333333326e-4
Former skeptics,trust_post,2.1,1.9933333333333334,-0.10666666666666669,0.10666666666666669,100,-0.001066666666666667,0.001066666666666667
Funding,behavior_mean,0.4,0.5333333333333333,0.1333333333333333,0.1333333333333333,100,0.001333333333333333,0.001333333333333333
Funding,belief_post,0.6,0.7966666666666667,0.19666666666666677,0.19666666666666677,100,0.0019666666666666678,0.0019666666666666678
Funding,concern_mean,0.5,0.6900000000000001,0.19000000000000006,0.19000000000000006,100,0.0019000000000000006,0.0019000000000000006
Funding,distrust_post,-2.2,-2.046666666666667,0.15333333333333332,0.15333333333333332,100,0.0015333333333333332,0.0015333333333333332
Funding,donation_ams,0.12,0.10966666666666666,-0.010333333333333333,0.010333333333333333,10,-0.0010333333333333334,0.0010333333333333334
Funding,funding_perceptions,3.25,3.8666666666666667,0.6166666666666667,0.6166666666666667,100,0.006166666666666667,0.006166666666666667
Funding,inst_trust_mean,0.85,0.86,0.010000000000000009,0.010000000000000009,100,1.0000000000000009e-4,1.0000000000000009e-4
Funding,newsletter_signup,0.0055,0.006266666666666667,7.666666666666672e-4,7.666666666666672e-4,1,7.666666666666672e-4,7.666666666666672e-4
Funding,policy_general,0.65,0.8033333333333333,0.15333333333333332,0.15333333333333332,100,0.0015333333333333332,0.0015333333333333332
Funding,policy_role_mean,-1.25,-0.5499999999999999,0.7000000000000001,0.7000000000000001,100,0.007000000000000001,0.007000000000000001
Funding,policy_specific_mean,0.5,0.5533333333333333,0.053333333333333344,0.053333333333333344,100,5.333333333333335e-4,5.333333333333335e-4
Funding,trust_multidimensional,2,1.97,-0.030000000000000027,0.030000000000000027,100,-3.0000000000000024e-4,3.0000000000000024e-4
Funding,trust_post,1.75,1.7933333333333334,0.043333333333333446,0.043333333333333446,100,4.3333333333333445e-4,4.3333333333333445e-4
High public trust,behavior_mean,0.8,0.69,-0.1100000000000001,0.1100000000000001,100,-0.001100000000000001,0.001100000000000001
High public trust,belief_post,1.25,1.0633333333333335,-0.18666666666666654,0.18666666666666654,100,-0.0018666666666666653,0.0018666666666666653
