condition,outcome,n_families,median_ate,mean_ate,min_ate,max_ate,mad_ate,n_models,native_min,native_max
Consensus,behavior_mean,3,1.15,1.05,0.8,1.2,0.07413000000000006,3,0,100
Consensus,belief_post,3,3,3.3666666666666667,2.5,4.6,0.7413,3,0,100
Consensus,concern_mean,3,1.5,1.6666666666666667,1.5,2,0,3,0,100
Consensus,distrust_post,3,-1.9,-1.95,-2.6,-1.35,0.8154299999999997,3,0,100
Consensus,donation_ams,3,0.15,0.15666666666666668,0.07,0.25,0.11860799999999998,3,0,10
Consensus,funding_perceptions,3,1.35,1.3833333333333333,1.3,1.5,0.07413000000000006,3,0,100
Consensus,inst_trust_mean,3,1,1.2,0.95,1.65,0.07413000000000006,3,0,100
Consensus,newsletter_signup,3,0.01,0.009166666666666667,0.0075,0.01,0,3,0,1
Consensus,policy_general,3,1.5,1.5666666666666667,1.45,1.75,0.07413000000000006,3,0,100
Consensus,policy_role_mean,3,1.65,1.7333333333333334,1.65,1.9000000000000001,0,3,0,100
Consensus,policy_specific_mean,3,1,1.1,1,1.3,0,3,0,100
Consensus,trust_multidimensional,3,2.25,2.3666666666666667,2.1,2.75,0.22238999999999987,3,0,100
Consensus,trust_post,3,2.35,2.45,2,3,0.5189100000000001,3,0,100
Corporate reliance,behavior_mean,3,0.75,0.7833333333333333,0.6,1,0.22239000000000003,3,0,100
Corporate reliance,belief_post,3,1.5,1.5166666666666666,1.3,1.75,0.2965199999999999,3,0,100
Corporate reliance,concern_mean,3,1.1,1.15,0.95,1.4,0.2223900000000002,3,0,100
Corporate reliance,distrust_post,3,-1.9,-2.033333333333333,-2.65,-1.55,0.5189099999999998,3,0,100
Corporate reliance,donation_ams,3,0.135,0.12833333333333333,0.060000000000000005,0.19,0.08154299999999999,3,0,10
Corporate reliance,funding_perceptions,3,1.2,1.1,0.9,1.2,0,3,0,100
Corporate reliance,inst_trust_mean,3,1.2,1.1166666666666667,0.8,1.35,0.2223900000000002,3,0,100
Corporate reliance,newsletter_signup,3,0.009000000000000001,0.009000000000000001,0.0085,0.0095,7.41299999999998e-4,3,0,1
Corporate reliance,policy_general,3,1.05,1.0833333333333333,1,1.2,0.07413000000000006,3,0,100
Corporate reliance,policy_role_mean,3,1.25,1.5,1.25,2,0,3,0,100
Corporate reliance,policy_specific_mean,3,0.9,0.8666666666666667,0.75,0.9500000000000001,0.07413000000000006,3,0,100
Corporate reliance,trust_multidimensional,3,2.15,2.2666666666666666,2,2.65,0.22238999999999987,3,0,100
Corporate reliance,trust_post,3,2.3,2.2666666666666666,1.8,2.7,0.5930400000000005,3,0,100
Extreme weather predictions,behavior_mean,3,0.8,0.9833333333333334,0.65,1.5,0.22239000000000003,3,0,100
Extreme weather predictions,belief_post,3,0.95,1.0666666666666667,0.75,1.5,0.2965199999999999,3,0,100
Extreme weather predictions,concern_mean,3,1.55,1.5,1.25,1.7,0.22238999999999987,3,0,100
Extreme weather predictions,distrust_post,3,-1.7,-2.0166666666666666,-2.85,-1.5,0.2965199999999999,3,0,100
Extreme weather predictions,donation_ams,3,0.25,0.23333333333333334,0.2,0.25,0,3,0,10
Extreme weather predictions,funding_perceptions,3,1.75,1.7999999999999998,1.3,2.3499999999999996,0.6671699999999999,3,0,100
Extreme weather predictions,inst_trust_mean,3,1.75,1.75,1.65,1.85,0.14826000000000011,3,0,100
Extreme weather predictions,newsletter_signup,3,0.0125,0.011666666666666667,0.01,0.0125,0,3,0,1
Extreme weather predictions,policy_general,3,1.25,1.2166666666666668,1.1,1.3,0.07413000000000006,3,0,100
Extreme weather predictions,policy_role_mean,3,2,2.033333333333333,1.8,2.3,0.2965199999999999,3,0,100
Extreme weather predictions,policy_specific_mean,3,0.95,0.9666666666666667,0.9,1.05,0.07412999999999989,3,0,100
Extreme weather predictions,trust_multidimensional,3,2.25,2.55,2.25,3.15,0,3,0,100
Extreme weather predictions,trust_post,3,2.5,2.5166666666666666,1.8,3.25,1.03782,3,0,100
Former skeptics,behavior_mean,3,0.9,0.9833333333333333,0.85,1.2,0.07413000000000006,3,0,100
Former skeptics,belief_post,3,1.9,1.9833333333333334,1.35,2.7,0.8154299999999997,3,0,100
Former skeptics,concern_mean,3,1.5,1.6,1.1,2.2,0.5930399999999998,3,0,100
Former skeptics,distrust_post,3,-1.75,-1.75,-2,-1.5,0.37065,3,0,100
Former skeptics,donation_ams,3,0.15,0.14333333333333334,0.09,0.19,0.05930400000000001,3,0,10
Former skeptics,funding_perceptions,3,1.3,1.2166666666666668,1,1.35,0.07413000000000006,3,0,100
Former skeptics,inst_trust_mean,3,1.0499999999999998,1.0499999999999998,0.95,1.15,0.14825999999999978,3,0,100
Former skeptics,newsletter_signup,3,0.01,0.01,0.01,0.01,0,3,0,1
Former skeptics,policy_general,3,1.45,1.5333333333333332,1.35,1.7999999999999998,0.14825999999999978,3,0,100
Former skeptics,policy_role_mean,3,1.25,1.2833333333333334,1.1,1.5,0.22238999999999987,3,0,100
Former skeptics,policy_specific_mean,3,1.05,1.1666666666666667,1,1.4500000000000002,0.07413000000000006,3,0,100
Former skeptics,trust_multidimensional,3,1.9000000000000001,1.95,1.9,2.05,3.292033312618514e-16,3,0,100
Former skeptics,trust_post,3,2.1,2,1.75,2.1500000000000004,0.07413000000000039,3,0,100
Funding,behavior_mean,3,0.4,0.5666666666666667,0.3,1,0.14826000000000003,3,0,100
Funding,belief_post,3,0.6,0.8333333333333334,0.55,1.35,0.07412999999999989,3,0,100
Funding,concern_mean,3,0.5,0.7000000000000001,0.5,1.1,0,3,0,100
Funding,distrust_post,3,-2.2,-2,-2.45,-1.35,0.37065,3,0,100
Funding,donation_ams,3,0.12,0.105,0.045,0.15,0.044478,3,0,10
Funding,funding_perceptions,3,3.25,3.683333333333333,3,4.8,0.37065,3,0,100
Funding,inst_trust_mean,3,0.85,0.8333333333333334,0.75,0.9,0.07413000000000006,3,0,100
Funding,newsletter_signup,3,0.0055,0.0065,0.004,0.01,0.002223899999999999,3,0,1
Funding,policy_general,3,0.65,0.7666666666666667,0.6,1.05,0.07413000000000006,3,0,100
Funding,policy_role_mean,3,-1.25,-0.7,-1.65,0.8,0.5930399999999998,3,0,100
Funding,policy_specific_mean,3,0.5,0.48333333333333334,0.09999999999999998,0.85,0.51891,3,0,100
Funding,trust_multidimensional,3,2,1.95,1.65,2.2,0.29652000000000023,3,0,100
Funding,trust_post,3,1.75,1.7666666666666668,1.35,2.2,0.5930399999999998,3,0,100
High public trust,behavior_mean,3,0.8,0.7166666666666667,0.35,1,0.2965199999999999,3,0,100
High public trust,belief_post,3,1.25,1.1166666666666667,0.75,1.35,0.14826000000000011,3,0,100
High public trust,concern_mean,3,0.8,0.8333333333333334,0.6000000000000001,1.1,0.2965199999999999,3,0,100
High public trust,distrust_post,3,-2.15,-2.033333333333333,-2.3,-1.65,0.22238999999999987,3,0,100
High public trust,donation_ams,3,0.135,0.125,0.04,0.2,0.096369,3,0,10
High public trust,funding_perceptions,3,0.85,0.7666666666666666,0.5,0.95,0.14825999999999995,3,0,100
High public trust,inst_trust_mean,3,1.25,1.1,0.55,1.5,0.37065,3,0,100
High public trust,newsletter_signup,3,0.008,0.007333333333333333,0.004,0.01,0.0029652,3,0,1
High public trust,policy_general,3,0.95,0.8666666666666667,0.6000000000000001,1.05,0.14826000000000011,3,0,100
High public trust,policy_role_mean,3,1.45,1.3166666666666667,1.05,1.4500000000000002,3.292033312618514e-16,3,0,100
High public trust,policy_specific_mean,3,0.75,0.6666666666666666,0.44999999999999996,0.8,0.07413000000000006,3,0,100
High public trust,trust_multidimensional,3,2.3,2.0666666666666664,1.4,2.5,0.29652000000000023,3,0,100
High public trust,trust_post,3,2.55,2.4,1.75,2.9,0.5189100000000001,3,0,100
Interview Prof. Maraun,behavior_mean,3,0.8,0.625,0.275,0.8,0,3,0,100
Interview Prof. Maraun,belief_post,3,0.8,0.7916666666666666,0.575,1,0.2965199999999999,3,0,100
