condition,outcome,family,family_ate,n_models_in_family
Consensus,behavior_mean,Google,0.5,1
Consensus,belief_post,Google,1.25,1
Consensus,concern_mean,Google,0.875,1
Consensus,distrust_post,Google,-1.25,1
Consensus,donation_ams,Google,0.1,1
Consensus,funding_perceptions,Google,0.65,1
Consensus,inst_trust_mean,Google,0.375,1
Consensus,newsletter_signup,Google,0.005,1
Consensus,policy_general,Google,0.975,1
Consensus,policy_role_mean,Google,1.25,1
Consensus,policy_specific_mean,Google,0.875,1
Consensus,trust_multidimensional,Google,1.65,1
Consensus,trust_post,Google,1.65,1
Corporate reliance,behavior_mean,Google,0.5,1
Corporate reliance,belief_post,Google,0.65,1
Corporate reliance,concern_mean,Google,0.6000000000000001,1
Corporate reliance,distrust_post,Google,-1.5,1
Corporate reliance,donation_ams,Google,0.1,1
Corporate reliance,funding_perceptions,Google,1,1
Corporate reliance,inst_trust_mean,Google,0.5,1
Corporate reliance,newsletter_signup,Google,0.005,1
Corporate reliance,policy_general,Google,0.6499999999999999,1
Corporate reliance,policy_role_mean,Google,1.4,1
Corporate reliance,policy_specific_mean,Google,0.6499999999999999,1
Corporate reliance,trust_multidimensional,Google,1.2,1
Corporate reliance,trust_post,Google,1,1
Extreme weather predictions,behavior_mean,Google,0.5,1
Extreme weather predictions,belief_post,Google,0.475,1
Extreme weather predictions,concern_mean,Google,0.44999999999999996,1
Extreme weather predictions,distrust_post,Google,-0.5,1
Extreme weather predictions,donation_ams,Google,0.07500000000000001,1
Extreme weather predictions,funding_perceptions,Google,0.4,1
Extreme weather predictions,inst_trust_mean,Google,0.25,1
Extreme weather predictions,newsletter_signup,Google,0.0075,1
Extreme weather predictions,policy_general,Google,0.4,1
Extreme weather predictions,policy_role_mean,Google,0.4,1
Extreme weather predictions,policy_specific_mean,Google,0.375,1
Extreme weather predictions,trust_multidimensional,Google,0.4,1
Extreme weather predictions,trust_post,Google,0.4,1
Former skeptics,behavior_mean,Google,0.5,1
Former skeptics,belief_post,Google,1.25,1
Former skeptics,concern_mean,Google,0.8,1
Former skeptics,distrust_post,Google,-1.25,1
Former skeptics,donation_ams,Google,0.1,1
Former skeptics,funding_perceptions,Google,0.7,1
Former skeptics,inst_trust_mean,Google,0.35,1
Former skeptics,newsletter_signup,Google,0.005,1
Former skeptics,policy_general,Google,0.75,1
Former skeptics,policy_role_mean,Google,1.2,1
Former skeptics,policy_specific_mean,Google,0.65,1
Former skeptics,trust_multidimensional,Google,1,1
Former skeptics,trust_post,Google,1.1,1
Funding,behavior_mean,Google,0.5,1
Funding,belief_post,Google,0.475,1
Funding,concern_mean,Google,0.4,1
Funding,distrust_post,Google,-1.25,1
Funding,donation_ams,Google,0.07500000000000001,1
Funding,funding_perceptions,Google,1.25,1
Funding,inst_trust_mean,Google,0.225,1
Funding,newsletter_signup,Google,0.0035,1
Funding,policy_general,Google,0.45,1
Funding,policy_role_mean,Google,0.775,1
Funding,policy_specific_mean,Google,0.35,1
Funding,trust_multidimensional,Google,0.725,1
Funding,trust_post,Google,0.675,1
High public trust,behavior_mean,Google,0.5,1
High public trust,belief_post,Google,0.65,1
High public trust,concern_mean,Google,0.6000000000000001,1
High public trust,distrust_post,Google,-1.5,1
High public trust,donation_ams,Google,0.1,1
High public trust,funding_perceptions,Google,0.65,1
High public trust,inst_trust_mean,Google,0.8999999999999999,1
High public trust,newsletter_signup,Google,0.005,1
High public trust,policy_general,Google,0.75,1
High public trust,policy_role_mean,Google,1.25,1
High public trust,policy_specific_mean,Google,0.6000000000000001,1
High public trust,trust_multidimensional,Google,1.9,1
High public trust,trust_post,Google,2,1
Interview Prof. Maraun,behavior_mean,Google,0.5,1
Interview Prof. Maraun,belief_post,Google,0.55,1
Interview Prof. Maraun,concern_mean,Google,0.55,1
Interview Prof. Maraun,distrust_post,Google,-0.75,1
Interview Prof. Maraun,donation_ams,Google,0.07500000000000001,1
Interview Prof. Maraun,funding_perceptions,Google,0.5,1
Interview Prof. Maraun,inst_trust_mean,Google,0.4,1
Interview Prof. Maraun,newsletter_signup,Google,0.005,1
Interview Prof. Maraun,policy_general,Google,0.5,1
Interview Prof. Maraun,policy_role_mean,Google,1.25,1
Interview Prof. Maraun,policy_specific_mean,Google,0.4,1
Interview Prof. Maraun,trust_multidimensional,Google,1,1
Interview Prof. Maraun,trust_post,Google,0.85,1
Interview Prof. Sebille,behavior_mean,Google,0.5,1
Interview Prof. Sebille,belief_post,Google,0.75,1
Interview Prof. Sebille,concern_mean,Google,0.6000000000000001,1
Interview Prof. Sebille,distrust_post,Google,-1.5,1
Interview Prof. Sebille,donation_ams,Google,0.07500000000000001,1
Interview Prof. Sebille,funding_perceptions,Google,0.6,1
Interview Prof. Sebille,inst_trust_mean,Google,0.35,1
Interview Prof. Sebille,newsletter_signup,Google,0.005,1
Interview Prof. Sebille,policy_general,Google,0.5,1
Interview Prof. Sebille,policy_role_mean,Google,1,1
Interview Prof. Sebille,policy_specific_mean,Google,0.4,1
Interview Prof. Sebille,trust_multidimensional,Google,1.25,1
Interview Prof. Sebille,trust_post,Google,1.2,1
Measurement & modeling (1),behavior_mean,Google,0.5,1
Measurement & modeling (1),belief_post,Google,1,1
Measurement & modeling (1),concern_mean,Google,0.75,1
Measurement & modeling (1),distrust_post,Google,-0.6,1
Measurement & modeling (1),donation_ams,Google,0.1,1
Measurement & modeling (1),funding_perceptions,Google,0.6,1
Measurement & modeling (1),inst_trust_mean,Google,0.65,1
Measurement & modeling (1),newsletter_signup,Google,0.005,1
Measurement & modeling (1),policy_general,Google,0.6,1
Measurement & modeling (1),policy_role_mean,Google,1.05,1
Measurement & modeling (1),policy_specific_mean,Google,0.45,1
Measurement & modeling (1),trust_multidimensional,Google,0.9,1
Measurement & modeling (1),trust_post,Google,0.8,1
Measurement & modeling (2),behavior_mean,Google,0.5,1
Measurement & modeling (2),belief_post,Google,1,1
Measurement & modeling (2),concern_mean,Google,0.75,1
Measurement & modeling (2),distrust_post,Google,-1.1,1
Measurement & modeling (2),donation_ams,Google,0.1,1
Measurement & modeling (2),funding_perceptions,Google,0.95,1
Measurement & modeling (2),inst_trust_mean,Google,0.55,1
Measurement & modeling (2),newsletter_signup,Google,0.005,1
Measurement & modeling (2),policy_general,Google,0.75,1
Measurement & modeling (2),policy_role_mean,Google,1.75,1
Measurement & modeling (2),policy_specific_mean,Google,0.55,1
Measurement & modeling (2),trust_multidimensional,Google,1.4,1
Measurement & modeling (2),trust_post,Google,1.4,1
Model accuracy,behavior_mean,Google,0.5,1
Model accuracy,belief_post,Google,1.1,1
Model accuracy,concern_mean,Google,0.65,1
Model accuracy,distrust_post,Google,-0.6,1
Model accuracy,donation_ams,Google,0.07500000000000001,1
Model accuracy,funding_perceptions,Google,0.55,1
Model accuracy,inst_trust_mean,Google,0.30000000000000004,1
Model accuracy,newsletter_signup,Google,0.0035,1
Model accuracy,policy_general,Google,0.6,1
Model accuracy,policy_role_mean,Google,1,1
Model accuracy,policy_specific_mean,Google,0.5,1
Model accuracy,trust_multidimensional,Google,0.95,1
Model accuracy,trust_post,Google,1.05,1
Oil industry misinformation,behavior_mean,Google,1,1
Oil industry misinformation,belief_post,Google,2,1
Oil industry misinformation,concern_mean,Google,1.65,1
Oil industry misinformation,distrust_post,Google,-4.5,1
Oil industry misinformation,donation_ams,Google,0.15000000000000002,1
Oil industry misinformation,funding_perceptions,Google,1.25,1
Oil industry misinformation,inst_trust_mean,Google,0.5,1
Oil industry misinformation,newsletter_signup,Google,0.005,1
Oil industry misinformation,policy_general,Google,1.5,1
Oil industry misinformation,policy_role_mean,Google,2.25,1
Oil industry misinformation,policy_specific_mean,Google,1.5,1
Oil industry misinformation,trust_multidimensional,Google,2.65,1
Oil industry misinformation,trust_post,Google,3.25,1
Peer-review,behavior_mean,Google,0.5,1
Peer-review,belief_post,Google,0.75,1
Peer-review,concern_mean,Google,0.6000000000000001,1
Peer-review,distrust_post,Google,-0.5,1
Peer-review,donation_ams,Google,0.07500000000000001,1
Peer-review,funding_perceptions,Google,0.44999999999999996,1
Peer-review,inst_trust_mean,Google,0.3,1
Peer-review,newsletter_signup,Google,0.005,1
Peer-review,policy_general,Google,0.65,1
Peer-review,policy_role_mean,Google,1.25,1
Peer-review,policy_specific_mean,Google,0.55,1
Peer-review,trust_multidimensional,Google,1.25,1
Peer-review,trust_post,Google,1.15,1
Portrait Prof. Cherry,behavior_mean,Google,0.5,1
Portrait Prof. Cherry,belief_post,Google,0.775,1
Portrait Prof. Cherry,concern_mean,Google,0.6,1
Portrait Prof. Cherry,distrust_post,Google,-0.5,1
Portrait Prof. Cherry,donation_ams,Google,0.07500000000000001,1
Portrait Prof. Cherry,funding_perceptions,Google,0.325,1
Portrait Prof. Cherry,inst_trust_mean,Google,0.55,1
Portrait Prof. Cherry,newsletter_signup,Google,0.0035,1
Portrait Prof. Cherry,policy_general,Google,0.5,1
Portrait Prof. Cherry,policy_role_mean,Google,0.85,1
Portrait Prof. Cherry,policy_specific_mean,Google,0.45,1
Portrait Prof. Cherry,trust_multidimensional,Google,1.25,1
Portrait Prof. Cherry,trust_post,Google,1.225,1
Scientist community helpers,behavior_mean,Google,0.5,1
Scientist community helpers,belief_post,Google,0.775,1
Scientist community helpers,concern_mean,Google,0.6,1
Scientist community helpers,distrust_post,Google,-1.5,1
Scientist community helpers,donation_ams,Google,0.1,1
Scientist community helpers,funding_perceptions,Google,0.5,1
Scientist community helpers,inst_trust_mean,Google,0.775,1
Scientist community helpers,newsletter_signup,Google,0.005,1
Scientist community helpers,policy_general,Google,0.675,1
Scientist community helpers,policy_role_mean,Google,1.5,1
Scientist community helpers,policy_specific_mean,Google,0.625,1
Scientist community helpers,trust_multidimensional,Google,1.35,1
Scientist community helpers,trust_post,Google,1.25,1
Social justice,behavior_mean,Google,1,1
Social justice,belief_post,Google,1.15,1
Social justice,concern_mean,Google,1.45,1
Social justice,distrust_post,Google,-1.75,1
Social justice,donation_ams,Google,0.125,1
Social justice,funding_perceptions,Google,2,1
Social justice,inst_trust_mean,Google,0.6,1
Social justice,newsletter_signup,Google,0.0035,1
Social justice,policy_general,Google,1.7,1
Social justice,policy_role_mean,Google,2.3,1
Social justice,policy_specific_mean,Google,1.4,1
Social justice,trust_multidimensional,Google,1.65,1
Social justice,trust_post,Google,1.9,1
