condition,outcome,ate
Consensus,behavior_mean,2.2
Consensus,belief_post,3.55
Consensus,concern_mean,2.15
Consensus,distrust_post,-2.0999999999999996
Consensus,donation_ams,0.16499999999999998
Consensus,funding_perceptions,2.15
Consensus,inst_trust_mean,2.5
Consensus,newsletter_signup,0.0125
Consensus,policy_general,2.55
Consensus,policy_role_mean,2.675
Consensus,policy_specific_mean,2.175
Consensus,trust_multidimensional,3.375
Consensus,trust_post,3
Corporate reliance,behavior_mean,2.075
Corporate reliance,belief_post,2.075
Corporate reliance,concern_mean,2.125
Corporate reliance,distrust_post,-2.075
Corporate reliance,donation_ams,0.1575
Corporate reliance,funding_perceptions,1.65
Corporate reliance,inst_trust_mean,2.3
Corporate reliance,newsletter_signup,0.012
Corporate reliance,policy_general,2.075
Corporate reliance,policy_role_mean,2.725
Corporate reliance,policy_specific_mean,1.7
Corporate reliance,trust_multidimensional,3.5
Corporate reliance,trust_post,2.4
Extreme weather predictions,behavior_mean,2
Extreme weather predictions,belief_post,1.65
Extreme weather predictions,concern_mean,2.375
Extreme weather predictions,distrust_post,-1.8875000000000002
Extreme weather predictions,donation_ams,0.275
Extreme weather predictions,funding_perceptions,2.0999999999999996
Extreme weather predictions,inst_trust_mean,2.7
Extreme weather predictions,newsletter_signup,0.01575
Extreme weather predictions,policy_general,1.9249999999999998
Extreme weather predictions,policy_role_mean,2.425
Extreme weather predictions,policy_specific_mean,1.6749999999999998
Extreme weather predictions,trust_multidimensional,3.2
Extreme weather predictions,trust_post,2.65
Former skeptics,behavior_mean,2.925
Former skeptics,belief_post,4.7250000000000005
Former skeptics,concern_mean,3.8
Former skeptics,distrust_post,-2.95
Former skeptics,donation_ams,0.23249999999999998
Former skeptics,funding_perceptions,3
Former skeptics,inst_trust_mean,4.075
Former skeptics,newsletter_signup,0.01875
Former skeptics,policy_general,4.05
Former skeptics,policy_role_mean,3.5
Former skeptics,policy_specific_mean,3.425
Former skeptics,trust_multidimensional,5.4
Former skeptics,trust_post,5.125
Funding,behavior_mean,1.925
Funding,belief_post,1.6500000000000001
Funding,concern_mean,1.3
Funding,distrust_post,-2.675
Funding,donation_ams,0.25
Funding,funding_perceptions,4.65
Funding,inst_trust_mean,1.7
Funding,newsletter_signup,0.012750000000000001
Funding,policy_general,2.125
Funding,policy_role_mean,1.425
Funding,policy_specific_mean,1.875
Funding,trust_multidimensional,2.325
Funding,trust_post,2.0250000000000004
High public trust,behavior_mean,2.175
High public trust,belief_post,2.425
High public trust,concern_mean,2.525
High public trust,distrust_post,-3.575
