condition,outcome,ate
Consensus,behavior_mean,0.644
Consensus,belief_post,1.6800000000000002
Consensus,concern_mean,0.8400000000000001
Consensus,distrust_post,-1.064
Consensus,donation_ams,0.084
Consensus,funding_perceptions,0.7560000000000001
Consensus,inst_trust_mean,0.56
Consensus,newsletter_signup,0.005600000000000001
Consensus,policy_general,0.8400000000000001
Consensus,policy_role_mean,0.924
Consensus,policy_specific_mean,0.56
Consensus,trust_multidimensional,1.2600000000000002
Consensus,trust_post,1.3160000000000003
Corporate reliance,behavior_mean,0.42000000000000004
Corporate reliance,belief_post,0.8400000000000001
Corporate reliance,concern_mean,0.6160000000000001
Corporate reliance,distrust_post,-1.064
Corporate reliance,donation_ams,0.07560000000000001
Corporate reliance,funding_perceptions,0.672
Corporate reliance,inst_trust_mean,0.672
Corporate reliance,newsletter_signup,0.005040000000000001
Corporate reliance,policy_general,0.5880000000000001
Corporate reliance,policy_role_mean,0.7000000000000001
Corporate reliance,policy_specific_mean,0.5040000000000001
Corporate reliance,trust_multidimensional,1.204
Corporate reliance,trust_post,1.288
Extreme weather predictions,behavior_mean,0.44800000000000006
Extreme weather predictions,belief_post,0.532
Extreme weather predictions,concern_mean,0.8680000000000001
Extreme weather predictions,distrust_post,-0.9520000000000001
Extreme weather predictions,donation_ams,0.14
Extreme weather predictions,funding_perceptions,0.9800000000000001
Extreme weather predictions,inst_trust_mean,0.9800000000000001
Extreme weather predictions,newsletter_signup,0.007000000000000001
Extreme weather predictions,policy_general,0.7000000000000001
Extreme weather predictions,policy_role_mean,1.12
Extreme weather predictions,policy_specific_mean,0.532
Extreme weather predictions,trust_multidimensional,1.2600000000000002
Extreme weather predictions,trust_post,1.4000000000000001
Former skeptics,behavior_mean,0.5040000000000001
Former skeptics,belief_post,1.064
Former skeptics,concern_mean,0.8400000000000001
Former skeptics,distrust_post,-0.9800000000000001
Former skeptics,donation_ams,0.084
Former skeptics,funding_perceptions,0.7280000000000001
Former skeptics,inst_trust_mean,0.588
Former skeptics,newsletter_signup,0.005600000000000001
Former skeptics,policy_general,0.812
Former skeptics,policy_role_mean,0.7000000000000001
Former skeptics,policy_specific_mean,0.5880000000000001
Former skeptics,trust_multidimensional,1.0640000000000003
Former skeptics,trust_post,1.1760000000000002
Funding,behavior_mean,0.22400000000000003
Funding,belief_post,0.336
Funding,concern_mean,0.28
Funding,distrust_post,-1.2320000000000002
Funding,donation_ams,0.06720000000000001
Funding,funding_perceptions,1.8200000000000003
Funding,inst_trust_mean,0.47600000000000003
Funding,newsletter_signup,0.0030800000000000003
Funding,policy_general,0.36400000000000005
Funding,policy_role_mean,-0.7000000000000001
Funding,policy_specific_mean,0.28
Funding,trust_multidimensional,1.12
Funding,trust_post,0.9800000000000001
High public trust,behavior_mean,0.44800000000000006
High public trust,belief_post,0.7000000000000001
High public trust,concern_mean,0.44800000000000006
High public trust,distrust_post,-1.204
High public trust,donation_ams,0.07560000000000001
High public trust,funding_perceptions,0.47600000000000003
High public trust,inst_trust_mean,0.7000000000000001
High public trust,newsletter_signup,0.0044800000000000005
