model_a,model_b,method,correlation,n_units
claude-haiku-4-5,claude-opus-4-6,pearson,0.8410727235895992,208
claude-haiku-4-5,claude-opus-4-6,spearman,0.6244771385201733,208
claude-haiku-4-5,gemini-2.5-flash-lite,pearson,0.8610620498534787,208
claude-haiku-4-5,gemini-2.5-flash-lite,spearman,0.6474603774496266,208
claude-haiku-4-5,gemini-2.5-pro,pearson,0.8275814815625951,208
claude-haiku-4-5,gemini-2.5-pro,spearman,0.6462107423824012,208
claude-haiku-4-5,gemini-3.1-flash-lite,pearson,0.8043072131326945,208
claude-haiku-4-5,gemini-3.1-flash-lite,spearman,0.5625465036901542,208
claude-haiku-4-5,gemini-3.1-pro-preview,pearson,0.7922046453927177,208
claude-haiku-4-5,gemini-3.1-pro-preview,spearman,0.651212446718888,208
claude-haiku-4-5,gpt-4o-mini,pearson,0.6840965726096723,208
claude-haiku-4-5,gpt-4o-mini,spearman,0.35983832771840524,208
claude-haiku-4-5,gpt-5-mini,pearson,0.7768412388723885,208
claude-haiku-4-5,gpt-5-mini,spearman,0.6340087906171529,208
claude-opus-4-6,gemini-2.5-flash-lite,pearson,0.84328740277177,208
claude-opus-4-6,gemini-2.5-flash-lite,spearman,0.631412184009061,208
claude-opus-4-6,gemini-2.5-pro,pearson,0.9180367691693224,208
claude-opus-4-6,gemini-2.5-pro,spearman,0.7710237489784816,208
claude-opus-4-6,gemini-3.1-flash-lite,pearson,0.8850897798790559,208
claude-opus-4-6,gemini-3.1-flash-lite,spearman,0.7598443682125974,208
claude-opus-4-6,gemini-3.1-pro-preview,pearson,0.9025384329949625,208
claude-opus-4-6,gemini-3.1-pro-preview,spearman,0.7787636367054365,208
claude-opus-4-6,gpt-4o-mini,pearson,0.7535867919705282,208
claude-opus-4-6,gpt-4o-mini,spearman,0.43899923011250297,208
claude-opus-4-6,gpt-5-mini,pearson,0.8850319264660359,208
claude-opus-4-6,gpt-5-mini,spearman,0.7389259258682239,208
gemini-2.5-flash-lite,gemini-2.5-pro,pearson,0.8457841700108418,208
gemini-2.5-flash-lite,gemini-2.5-pro,spearman,0.6729048991383079,208
gemini-2.5-flash-lite,gemini-3.1-flash-lite,pearson,0.7984719116659951,208
gemini-2.5-flash-lite,gemini-3.1-flash-lite,spearman,0.49448873176171193,208
gemini-2.5-flash-lite,gemini-3.1-pro-preview,pearson,0.7442970907028034,208
gemini-2.5-flash-lite,gemini-3.1-pro-preview,spearman,0.5436876091386137,208
gemini-2.5-flash-lite,gpt-4o-mini,pearson,0.7387824175785774,208
gemini-2.5-flash-lite,gpt-4o-mini,spearman,0.465687843735687,208
gemini-2.5-flash-lite,gpt-5-mini,pearson,0.7921130195508511,208
gemini-2.5-flash-lite,gpt-5-mini,spearman,0.645368656252879,208
gemini-2.5-pro,gemini-3.1-flash-lite,pearson,0.8239334815270666,208
gemini-2.5-pro,gemini-3.1-flash-lite,spearman,0.6672365308243651,208
gemini-2.5-pro,gemini-3.1-pro-preview,pearson,0.9215384345320626,208
gemini-2.5-pro,gemini-3.1-pro-preview,spearman,0.8313051601317609,208
gemini-2.5-pro,gpt-4o-mini,pearson,0.7292043355327713,208
gemini-2.5-pro,gpt-4o-mini,spearman,0.39615440112209266,208
gemini-2.5-pro,gpt-5-mini,pearson,0.8902377313222515,208
gemini-2.5-pro,gpt-5-mini,spearman,0.7287995185775712,208
gemini-3.1-flash-lite,gemini-3.1-pro-preview,pearson,0.8243126545709065,208
gemini-3.1-flash-lite,gemini-3.1-pro-preview,spearman,0.6414231436850061,208
gemini-3.1-flash-lite,gpt-4o-mini,pearson,0.6826625024024907,208
gemini-3.1-flash-lite,gpt-4o-mini,spearman,0.3577431889161885,208
gemini-3.1-flash-lite,gpt-5-mini,pearson,0.8208403138346283,208
gemini-3.1-flash-lite,gpt-5-mini,spearman,0.6481410338850889,208
gemini-3.1-pro-preview,gpt-4o-mini,pearson,0.6842036460829954,208
gemini-3.1-pro-preview,gpt-4o-mini,spearman,0.4086016687535066,208
gemini-3.1-pro-preview,gpt-5-mini,pearson,0.8890584554001125,208
gemini-3.1-pro-preview,gpt-5-mini,spearman,0.7813769368829595,208
gpt-4o-mini,gpt-5-mini,pearson,0.7557266200335853,208
gpt-4o-mini,gpt-5-mini,spearman,0.4224666456874904,208
