condition,outcome,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Oil industry misinformation,distrust_post,8,8,0,-6.86875,-4.4,5.471480440820904,1.223145,-17.5,-2.35,15.15,100,0.05471480440820904,0.01223145,0.1515
Oil industry misinformation,belief_post,8,8,0,4.8625,3.175,3.933714166389971,1.297275,1.9,12.5,10.6,100,0.039337141663899705,0.01297275,0.106
Oil industry misinformation,trust_post,8,8,0,4.88125,4.1,3.3881028720256663,1.4826,2.5,12.95,10.45,100,0.03388102872025666,0.014825999999999999,0.1045
Social justice,donation_ams,8,8,0,0.26125,0.15,0.3122584780960433,0.040771499999999995,0.02,1,0.98,10,0.03122584780960433,0.00407715,0.098
Extreme weather predictions,funding_perceptions,8,8,0,2.80625,1.975,2.989438253489871,0.7783649999999996,0.4,10,9.6,100,0.029894382534898713,0.007783649999999996,0.096
Extreme weather predictions,belief_post,8,8,0,2.23125,1.225,3.1758224469081573,0.7227675,0.475,10,9.525,100,0.031758224469081574,0.007227675,0.09525
Portrait Prof. Cherry,donation_ams,8,8,0,0.23125,0.10500000000000001,0.3173860875517838,0.05559750000000001,0.05,1,0.95,10,0.03173860875517838,0.0055597500000000005,0.095
Social justice,policy_specific_mean,8,8,0,2.91875,1.4,3.18634783098142,1.03782,0.5,10,9.5,100,0.0318634783098142,0.010378199999999999,0.095
Interview Prof. Maraun,belief_post,8,8,0,2.121875,0.9,3.224389130960645,0.5003775,0.55,10,9.45,100,0.03224389130960645,0.005003775,0.09449999999999999
Social justice,belief_post,8,8,0,2.51875,1.325,3.144262064232469,1.03782,0.55,10,9.45,100,0.03144262064232469,0.010378199999999999,0.09449999999999999
Corporate reliance,belief_post,8,8,0,2.615625,1.625,3.077479763772391,1.371405,0.575,10,9.425,100,0.030774797637723908,0.01371405,0.09425
Interview Prof. Sebille,funding_perceptions,8,8,0,2.6375,1.4500000000000002,3.1073357903975736,0.40771500000000016,0.6,10,9.4,100,0.031073357903975737,0.004077150000000002,0.094
Measurement & modeling (2),belief_post,8,8,0,2.31875,1,3.1772559476917905,0.555975,0.6,10,9.4,100,0.03177255947691791,0.00555975,0.094
Portrait Prof. Cherry,belief_post,8,8,0,2.165625,0.9125,3.1986586893124884,0.40771499999999994,0.625,10,9.375,100,0.031986586893124884,0.004077149999999999,0.09375
High public trust,belief_post,8,8,0,2.5875,1.3,3.1281840921348785,0.8895600000000001,0.65,10,9.35,100,0.03128184092134879,0.008895600000000002,0.0935
Social justice,funding_perceptions,8,8,0,2.90625,2.075,3.0135927182399036,1.3714050000000002,0.65,10,9.35,100,0.030135927182399037,0.013714050000000002,0.0935
Extreme weather predictions,donation_ams,8,8,0,0.321875,0.25,0.2845540056700259,0.07412999999999997,0.07500000000000001,1,0.925,10,0.028455400567002593,0.007412999999999998,0.0925
Funding,funding_perceptions,8,8,0,4.9,4.65,2.7637965606338373,2.1497699999999993,1.25,10.5,9.25,100,0.027637965606338372,0.021497699999999995,0.0925
Interview Prof. Sebille,belief_post,8,8,0,2.575,1.5250000000000001,3.0627951752793208,0.8895599999999999,0.75,10,9.25,100,0.030627951752793207,0.008895599999999998,0.0925
Interview Prof. Sebille,donation_ams,8,8,0,0.26625,0.15,0.3089238232500507,0.08895600000000001,0.07500000000000001,1,0.925,10,0.030892382325005067,0.0088956,0.0925
Peer-review,belief_post,8,8,0,2.671875,1.375,3.114638178367249,0.81543,0.75,10,9.25,100,0.031146381783672492,0.0081543,0.0925
Scientist community helpers,belief_post,8,8,0,2.253125,1.1,3.1609344656965876,0.44478000000000006,0.775,10,9.225,100,0.031609344656965875,0.004447800000000001,0.09225
Interview Prof. Maraun,trust_post,8,8,0,3.296875,1.9125,3.1771628600507267,1.3899374999999998,0.85,10,9.15,100,0.031771628600507265,0.013899374999999999,0.0915
