condition,outcome,model_id,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Oil industry misinformation,trust_post,gpt-4o-mini,2,2,0,2.5,2.5,17.67766952966369,18.5325,-10,15,25,100,0.1767766952966369,0.185325,0.25
Extreme weather predictions,trust_post,gpt-4o-mini,2,2,0,3.5,3.5,9.192388155425117,9.636899999999999,-3,10,13,100,0.09192388155425117,0.09636899999999998,0.13
Social justice,trust_post,gpt-4o-mini,2,2,0,3.5,3.5,9.192388155425117,9.636899999999999,-3,10,13,100,0.09192388155425117,0.09636899999999998,0.13
Consensus,trust_post,gpt-4o-mini,2,2,0,4,4,8.48528137423857,8.8956,-2,10,12,100,0.0848528137423857,0.088956,0.12
Oil industry misinformation,inst_trust_mean,gpt-4o-mini,2,2,0,9,9,8.48528137423857,8.8956,3,15,12,100,0.0848528137423857,0.088956,0.12
Oil industry misinformation,trust_multidimensional,gpt-4o-mini,2,2,0,4,4,8.48528137423857,8.8956,-2,10,12,100,0.0848528137423857,0.088956,0.12
Measurement & modeling (1),trust_post,gpt-4o-mini,2,2,0,2.5,2.5,7.7781745930520225,8.1543,-3,8,11,100,0.07778174593052023,0.08154299999999999,0.11
Measurement & modeling (2),trust_post,gpt-4o-mini,2,2,0,2.5,2.5,7.7781745930520225,8.1543,-3,8,11,100,0.07778174593052023,0.08154299999999999,0.11
Model accuracy,trust_post,gpt-4o-mini,2,2,0,2.5,2.5,7.7781745930520225,8.1543,-3,8,11,100,0.07778174593052023,0.08154299999999999,0.11
Former skeptics,trust_post,claude-haiku-4-5,2,2,0,9,9,7.353910524340094,7.709519999999999,3.8,14.2,10.399999999999999,100,0.07353910524340095,0.07709519999999999,0.10399999999999998
Oil industry misinformation,distrust_post,claude-haiku-4-5,2,2,0,-13.4,-13.4,7.212489168102785,7.561259999999999,-18.5,-8.3,10.2,100,0.07212489168102784,0.07561259999999999,0.102
Corporate reliance,trust_post,gpt-4o-mini,2,2,0,3,3,7.0710678118654755,7.412999999999999,-2,8,10,100,0.07071067811865475,0.07412999999999999,0.1
Extreme weather predictions,funding_perceptions,gpt-4o-mini,2,2,0,10,10,7.0710678118654755,7.412999999999999,5,15,10,100,0.07071067811865475,0.07412999999999999,0.1
Interview Prof. Sebille,funding_perceptions,gpt-4o-mini,2,2,0,10,10,7.0710678118654755,7.412999999999999,5,15,10,100,0.07071067811865475,0.07412999999999999,0.1
Social justice,funding_perceptions,gpt-4o-mini,2,2,0,10,10,7.0710678118654755,7.412999999999999,5,15,10,100,0.07071067811865475,0.07412999999999999,0.1
Social justice,policy_specific_mean,gpt-4o-mini,2,2,0,10,10,7.0710678118654755,7.412999999999999,5,15,10,100,0.07071067811865475,0.07412999999999999,0.1
Oil industry misinformation,trust_post,claude-haiku-4-5,2,2,0,12.95,12.95,6.858935777509512,7.19061,8.1,17.8,9.700000000000001,100,0.06858935777509512,0.0719061,0.09700000000000002
Former skeptics,belief_post,claude-haiku-4-5,2,2,0,7.550000000000001,7.550000000000001,6.717514421272202,7.04235,2.8,12.3,9.5,100,0.06717514421272203,0.0704235,0.095
Former skeptics,trust_multidimensional,claude-haiku-4-5,2,2,0,8.9,8.9,6.646803743153546,6.968219999999999,4.2,13.6,9.399999999999999,100,0.06646803743153545,0.06968219999999999,0.09399999999999999
Funding,funding_perceptions,gpt-4o-mini,2,2,0,10.5,10.5,6.363961030678928,6.6716999999999995,6,15,9,100,0.06363961030678927,0.066717,0.09
Oil industry misinformation,policy_role_mean,gpt-4o-mini,2,2,0,10.5,10.5,6.363961030678928,6.6716999999999995,6,15,9,100,0.06363961030678927,0.066717,0.09
Oil industry misinformation,trust_multidimensional,claude-haiku-4-5,2,2,0,11.8,11.8,6.2225396744416175,6.523439999999999,7.4,16.2,8.799999999999999,100,0.06222539674441618,0.06523439999999998,0.088
Oil industry misinformation,policy_general,claude-haiku-4-5,2,2,0,9.55,9.55,6.0104076400856545,6.30105,5.3,13.8,8.5,100,0.06010407640085655,0.0630105,0.085
Former skeptics,inst_trust_mean,claude-haiku-4-5,2,2,0,7.45,7.45,5.586143571373726,5.85627,3.5,11.4,7.9,100,0.05586143571373726,0.0585627,0.079
Former skeptics,concern_mean,claude-haiku-4-5,2,2,0,6.1,6.1,5.091168824543142,5.337359999999999,2.5,9.7,7.199999999999999,100,0.05091168824543142,0.05337359999999999,0.072
Former skeptics,policy_general,claude-haiku-4-5,2,2,0,6.6499999999999995,6.6499999999999995,5.020458146424487,5.263229999999999,3.1,10.2,7.1,100,0.05020458146424487,0.05263229999999999,0.071
Consensus,inst_trust_mean,gpt-4o-mini,2,2,0,6.5,6.5,4.949747468305833,5.1891,3,10,7,100,0.049497474683058325,0.051891,0.07
